Litho_Facies,Formation,Well Name,Depth,GR,VCL,NPHI,RHOB,DT,FACIES,PHI
0,A,1,3119.918945,91.16649628,0.501850545,0.208299995,2.551700115,80.83650208,5,0.071750864
0,A,1,3120.05835,94.62689972,0.540297627,0.215100005,2.552200079,80.47250366,5,0.068308674
0,A,1,3120.197998,94.46829987,0.538484514,0.208100006,2.549400091,81.05310059,5,0.063391686
0,A,1,3120.337646,93.4036026,0.526655376,0.197799996,2.531699896,80.59420013,5,0.062790804
0,A,1,3120.477295,90.34249878,0.49273333,0.193100005,2.524399996,80.45739746,5,0.068664014
0,A,1,3120.616943,92.63050079,0.518091202,0.192300007,2.522700071,80.60070038,5,0.065679066
0,A,1,3120.756348,92.02539825,0.511545539,0.201499999,2.519799948,80.71019745,5,0.070751093
0,A,1,3120.895996,102.007103,0.622255385,0.201299995,2.529599905,80.51540375,5,0.052497838
0,A,1,3121.035645,98.94599915,0.588271916,0.203099996,2.528100014,80.46510315,5,0.057842698
0,A,1,3121.175293,97.02249908,0.56676811,0.196500003,2.526499987,79.62359619,5,0.059178192
0,A,1,3121.314941,87.97239685,0.466385961,0.182899997,2.521399975,78.7684021,5,0.069866464
0,A,1,3121.454346,87.01560211,0.455748558,0.177699998,2.528199911,78.41629791,5,0.066853121
0,A,1,3121.593994,90.34290314,0.49277547,0.180700004,2.539000034,79.09349823,5,0.058730044
0,A,1,3121.733643,95.51370239,0.550353408,0.202199996,2.545000076,79.9437027,5,0.057669427
0,A,1,3121.873291,106.0375977,0.667164028,0.214200005,2.549900055,80.66220093,5,0.042076208
0,A,1,3122.012939,110.4296036,0.715942025,0.215000004,2.551700115,82.19680023,5,0.035498917
0,A,1,3122.152588,113.3125992,0.74785763,0.219600007,2.556299925,81.84850311,5,0.025647387
0,A,1,3122.291992,110.3999023,0.715551436,0.2174,2.557699919,81.56020355,5,0.03358119
0,A,1,3122.431641,107.0726013,0.67854631,0.220100001,2.565000057,81.74970245,5,0.040057208
0,A,1,3122.570313,103.3916016,0.637614608,0.214900002,2.568200111,81.17939758,5,0.04439611
0,A,1,3122.70874,97.53559876,0.572629154,0.219899997,2.574599981,81.18180084,5,0.060075682
0,A,1,3122.847168,99.53199768,0.594864428,0.225500003,2.58130002,81.3824997,5,0.058029812
0,A,1,3122.98584,103.9543991,0.643931091,0.2227,2.585500002,81.59799957,5,0.045302309
0,A,1,3123.124268,106.0838013,0.667629123,0.218700007,2.579600096,81.76319885,5,0.03877186
0,A,1,3123.262695,108.0802002,0.689760387,0.211999998,2.576200008,82.11959839,5,0.030440319
0,A,1,3123.401123,105.3619003,0.659601986,0.222200006,2.579099894,82.5134964,5,0.042768218
0,A,1,3123.539551,105.4950028,0.661152303,0.218899995,2.586699963,83.16239929,5,0.039071053
0,A,1,3123.677979,109.0884018,0.701023877,0.227500007,2.587800026,83.74510193,5,0.036138982
0,A,1,3123.816406,110.7306976,0.719264031,0.227400005,2.586800098,83.98010254,5,0.032477975
0,A,1,3123.954834,115.1227036,0.76794368,0.227799997,2.598099947,83.55319977,5,0.018484026
0,A,1,3124.093262,111.2630997,0.725108504,0.220300004,2.60649991,83.35019684,5,0.023422258
0,A,1,3124.231934,111.8448029,0.731648564,0.226300001,2.596199989,83.61910248,5,0.027601324
0,A,1,3124.370361,115.1720963,0.768675327,0.234500006,2.584899902,84.22779846,5,0.01828368
0,A,1,3124.508789,120.3444977,0.826003254,0.249599993,2.590899944,85.79219818,5,0.006200417
0,A,1,3124.647217,120.5613022,0.82848829,0.249899998,2.605700016,85.93849945,5,0.005881412
0,A,1,3124.785889,119.7628021,0.81952256,0.261900008,2.617599964,85.13330078,5,0.007080369
0,A,1,3124.924316,114.4571991,0.760659933,0.252799988,2.617000103,84.209198,5,0.020854268
0,A,1,3125.062744,118.5650024,0.806216538,0.233999997,2.617300034,83.73020172,5,0.009242819
0,A,1,3125.201172,112.8421021,0.742698014,0.217899993,2.606699944,83.77570343,5,0.018236745
0,A,1,3125.3396,112.7089996,0.741140127,0.229399994,2.595700026,84.40750122,5,0.027671184
0,A,1,3125.478027,108.6013031,0.695659816,0.251399994,2.588900089,85.15779877,5,0.051450677
0,A,1,3125.616455,112.7046967,0.741286695,0.25,2.588399887,85.66889954,5,0.028446334
0,A,1,3125.754883,118.6600037,0.807296157,0.243399993,2.585700035,86.19270325,5,0.009048341
0,A,1,3125.893311,118.3937988,0.804423273,0.238299996,2.584199905,86.58439636,5,0.00955228
0,A,1,3126.031982,119.9899979,0.822094619,0.247099996,2.580199957,86.77570343,5,0.00671486
0,A,1,3126.17041,119.6191025,0.8180058,0.2447,2.585000038,86.77010346,5,0.007297203
0,A,1,3126.308838,120.0184021,0.822390258,0.238100007,2.584300041,86.82550049,5,0.006669854
0,A,1,3126.447266,119.353302,0.81499815,0.244599998,2.589600086,86.57980347,5,0.007745536
0,A,1,3126.585938,119.225502,0.813646615,0.239199996,2.589600086,86.80599976,5,0.007964704
0,A,1,3126.724365,122.4197006,0.849078476,0.2456,2.594799995,87.00610352,5,0.003756724
0,A,1,3126.862793,120.9421997,0.832643688,0.239899993,2.609400034,86.88459778,5,0.005387774
0,A,1,3127.001221,117.0826035,0.789759278,0.244499996,2.621999979,86.95860291,5,0.012567238
0,A,1,3127.139648,114.2876968,0.758803546,0.247099996,2.630800009,86.61799622,5,0.019581473
0,A,1,3127.278076,114.5348969,0.761534929,0.244900003,2.618900061,86.26239777,5,0.020582652
0,A,1,3127.416504,116.9304962,0.788131118,0.240799993,2.612900019,86.12290192,5,0.012963365
0,A,1,3127.554932,119.0598984,0.811818004,0.219699994,2.608999968,85.47509766,5,0.005040814
0,A,1,3127.693359,120.2955017,0.825478613,0.221300006,2.613100052,85.61170197,5,0.002607311
0,A,1,3127.832031,118.8314972,0.809155345,0.234099999,2.620800018,86.07019806,5,0.008692679
0,A,1,3127.970459,115.770401,0.775223613,0.243399993,2.626300097,86.26909638,5,0.016297618
0,A,1,3128.108887,117.3852005,0.7931844,0.239500001,2.630500078,86.69599915,5,0.011827124
0,A,1,3128.247314,116.3205032,0.781354368,0.240700007,2.622400045,87.04039764,5,0.014641146
0,A,1,3128.385986,120.0469971,0.822640419,0.242699996,2.611399889,87.15670013,5,0.006644934
0,A,1,3128.524414,115.9610977,0.77736795,0.258599997,2.595999956,87.80770111,5,0.015695615
0,A,1,3128.662842,120.6192017,0.829125226,0.259000003,2.595099926,88.56559753,5,0.005810527
0,A,1,3128.80127,122.3494034,0.848328829,0.267199993,2.59010005,89.42420197,5,0.003816706
0,A,1,3128.939697,124.3263016,0.870245636,0.256300002,2.58769989,89.63150024,5,0.002282094
0,A,1,3129.078369,120.5998001,0.82889998,0.245199993,2.578700066,89.67269898,5,0.005823158
0,A,1,3129.216553,120.5998001,0.828894615,0.258700013,2.576499939,89.58899689,5,0.005828999
0,A,1,3129.35498,120.2291031,0.824813008,0.25729999,2.575299978,89.32109833,5,0.006350288
0,A,1,3129.493408,121.1233978,0.834654033,0.272500008,2.572599888,89.00099945,5,0.005155634
0,A,1,3129.63208,117.9707031,0.799701214,0.252299994,2.58010006,88.49459839,5,0.010448764
0,A,1,3129.770508,118.0548019,0.800633192,0.26030001,2.589099884,88.52960205,5,0.010265261
0,A,1,3129.908936,120.3305969,0.825909078,0.255299985,2.595499992,88.55970001,5,0.006208544
0,A,1,3130.047363,120.9487991,0.832842231,0.266299993,2.594399929,88.74859619,5,0.005367142
0,A,1,3130.185791,123.8525009,0.865002096,0.26879999,2.597300053,89.24230194,5,0.002589794
0,A,1,3130.324463,123.9949036,0.866522431,0.273099989,2.606100082,89.25810242,5,0.002499119
0,A,1,3130.462891,118.6772003,0.807475209,0.269499987,2.614500046,89.00530243,5,0.008987133
0,A,1,3130.601318,116.971199,0.788530052,0.279100001,2.601900101,88.78820038,5,0.012867709
0,A,1,3130.739746,112.1733017,0.735424161,0.270500004,2.592200041,88.58460236,5,0.031043166
0,A,1,3130.878418,120.6911011,0.829861164,0.279199988,2.588399887,88.82869721,5,0.005745608
0,A,1,3131.016846,118.0292969,0.80027324,0.259000003,2.601099968,89.26370239,5,0.010329687
0,A,1,3131.155029,116.1874008,0.779768229,0.265700012,2.608500004,89.25029755,5,0.015053553
0,A,1,3131.293457,107.1587982,0.679602861,0.254299998,2.601500034,89.17500305,5,0.04936811
0,A,1,3131.432129,114.2126007,0.757919431,0.260899991,2.602099896,89.01799774,5,0.02187364
0,A,1,3131.570557,115.5435028,0.772809863,0.252200007,2.607800007,88.85710144,5,0.017027572
0,A,1,3131.708984,123.0804977,0.856316686,0.243200004,2.610599995,88.71199799,5,0.003203884
0,A,1,3131.847412,117.3575974,0.792997003,0.236499995,2.598599911,88.79810333,5,0.011864139
0,A,1,3131.98584,124.0121002,0.866756856,0.241400003,2.586499929,88.93180084,5,0.002493823
0,A,1,3132.124512,121.0466995,0.833948374,0.25940001,2.595400095,89.14880371,5,0.005236235
0,A,1,3132.262939,124.3740006,0.870850563,0.258599997,2.600899935,89.271698,5,0.002248089
0,A,1,3132.401367,127.8342972,0.909291208,0.252700001,2.608999968,89.26260376,5,0.000805965
